ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
103,3LEDid35,13,2.474308456,1.492172979,11.62347773,0.981873954,0.018126046,0.927495817,9.879374931,0.548913565,0.002783465,6.126671132,4.753118719,0.010102906,240,255,120,0
104,3LEDid35,13,NA,NA,NA,0,1,0,0,0,0,6.126671132,4.753118719,0.010102906,240,255,120,0
105,3LEDid35,13,2.313875724,1.116169986,8.147878781,1,0,0.981873954,6.736357939,0.129793872,0.001862493,6.126671132,4.753118719,0.010102906,240,255,120,0
106,3LEDid35,13,2.325950185,1.348756517,9.832077103,1,0,0.982152817,10.10707887,0.446818153,0.002799992,6.126671132,4.753118719,0.010102906,240,255,120,0
107,3LEDid35,13,2.362170527,1.281776251,9.49915828,1,0,1,4.705162081,1.232300593,0.001301295,6.126671132,4.753118719,0.010102906,240,255,120,0
108,3LEDid35,13,2.189356988,1.25765872,8.657574252,1,0,0.927495817,13.89418154,0.794747554,0.003845331,6.126671132,4.753118719,0.010102906,240,255,120,0
109,3LEDid35,13,2.868878872,1.888546587,17.01819003,1,0,1,9.123126587,0.922405291,0.002523333,6.126671132,4.753118719,0.010102906,240,255,120,0
110,3LEDid15,14,3.105515335,2.022272696,19.90407072,0.463550362,0.536449638,0.326655537,16.22764001,0.363454085,0.009544016,6.3529755,5.135600302,0.231706671,240,255,120,127
111,3LEDid15,14,2.757194554,1.276147999,11.00343847,0.472732332,0.527267668,0.345854201,25.40603524,0.33112954,0.014698556,6.3529755,5.135600302,0.231706671,240,255,120,127
112,3LEDid15,14,2.791256351,1.7402484,15.303735,1,0,0.981914302,9.130549249,0.234091151,0.002518241,6.3529755,5.135600302,0.231706671,240,255,120,127
113,3LEDid15,14,2.618928042,1.703322476,14.1889602,0.109070673,0.890929327,0.081803005,4.52069915,0.115058377,0.010626006,6.3529755,5.135600302,0.231706671,240,255,120,127
114,3LEDid15,14,NA,NA,NA,0,1,0,0,0,0,6.3529755,5.135600302,0.231706671,240,255,120,127
115,3LEDid15,14,2.068318025,1.217127807,8.12127897,0.00918197,0.99081803,0.00918197,0.25691397,0.00438127,0.003892636,6.3529755,5.135600302,0.231706671,240,255,120,127
116,3LEDid15,14,2.644707326,1.351367879,11.22796584,0,1,0,0,0,0,6.3529755,5.135600302,0.231706671,240,255,120,127
117,3LEDid15,14,2.946178969,1.891323224,17.55959542,0.981914302,0.018085698,0.963828603,15.76998978,0.685050364,0.004427337,6.3529755,5.135600302,0.231706671,240,255,120,127
118,3LEDid15,14,2.728848372,1.865976731,15.99548133,0.127434613,0.872565387,0.081803005,5.94470507,0.183629427,0.012073943,6.3529755,5.135600302,0.231706671,240,255,120,127
119,3LEDid15,14,2.829181323,1.678113097,16.46790809,0.008903728,0.991096272,0,5.578125091,0.009572192,0.087158205,6.3529755,5.135600302,0.231706671,240,255,120,127
120,3LEDid33,14,1.876968262,1.270825031,7.635373396,0.100501114,0.899498886,0.03674833,7.529106981,0.092357771,0.019157456,6.3529755,5.135600302,0.231706671,240,255,120,127
121,3LEDid33,14,2.305366856,1.410776979,10.21647317,1,0,0.972995546,9.332699598,0.571111604,0.00257598,6.3529755,5.135600302,0.231706671,240,255,120,127
122,3LEDid33,14,2.440899285,1.402282074,10.75534498,0.463808463,0.536191537,0.409242762,11.86777313,0.19804136,0.006972315,6.3529755,5.135600302,0.231706671,240,255,120,127
123,3LEDid33,14,1.853874175,1.198918239,6.985878546,1,0,0.981625835,16.43512968,0.595178691,0.00450798,6.3529755,5.135600302,0.231706671,240,255,120,127
124,3LEDid33,14,2.775522216,1.925933959,16.83106898,1,0,0.945155902,15.90621121,0.752870695,0.004376996,6.3529755,5.135600302,0.231706671,240,255,120,127
125,3LEDid33,14,2.487757253,1.167293351,9.252038827,0.963530067,0.036469933,0.927060134,11.0809621,0.198812556,0.003167782,6.3529755,5.135600302,0.231706671,240,255,120,127
126,3LEDid33,14,2.881778011,1.744084243,15.78892757,0.018374165,0.981625835,0,3.386579059,0.015758436,0.034207869,6.3529755,5.135600302,0.231706671,240,255,120,127
127,3LEDid33,14,2.039260531,1.204885739,8.047004967,0.981625835,0.018374165,0.972438753,7.096306357,0.437014122,0.001989494,6.3529755,5.135600302,0.231706671,240,255,120,127
128,3LEDid33,14,2.412709791,1.473204801,11.18894215,1,0,0.981625835,14.0694286,1.14885325,0.003876711,6.3529755,5.135600302,0.231706671,240,255,120,127
129,3LEDid33,14,2.018243086,1.017226916,6.449724872,0,1,0,0,0,0,6.3529755,5.135600302,0.231706671,240,255,120,127
130,3LEDid13,15,2.725892961,1.78113809,18.16721503,0.045353367,0.954646633,0.036449638,0.807742646,0.021918607,0.00415911,6.581061792,5.521093551,0.455055346,240,255,120,255
